Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0002501,=,0.0,http://human.owl#NCI_C13356,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Terminal_Bronchiole""]",[],"[""owl:Class""]",http://human.owl#NCI_C33754,=,1.0,http://mouse.owl#MA_0000424,"[""terminal bronchiole""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Thyroid_Gland_Follicle""]",[],"[""owl:Class""]",http://human.owl#NCI_C33782,=,1.0,http://mouse.owl#MA_0000726,"[""thyroid gland follicle""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0001992,=,0.0,http://human.owl#NCI_C52961,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0001119,=,0.0,http://human.owl#NCI_C32473,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Malleus""]",[],"[""owl:Class""]",http://human.owl#NCI_C33051,=,1.0,http://mouse.owl#MA_0001216,"[""malleus""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Interatrial_Septum""]",[],"[""owl:Class""]",http://human.owl#NCI_C32818,=,1.0,http://mouse.owl#MA_0000084,"[""atrial septum""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0000711,=,0.0,http://human.owl#NCI_C49215,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Pericardial_Cavity""]",[],"[""owl:Class""]",http://human.owl#NCI_C38662,=,1.0,http://mouse.owl#MA_0000053,"[""pericardial cavity""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Phrenic_Nerve""]",[],"[""owl:Class""]",http://human.owl#NCI_C52813,=,1.0,http://mouse.owl#MA_0001170,"[""phrenic nerve""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Rib_2""]",[],"[""owl:Class""]",http://human.owl#NCI_C52766,=,1.0,http://mouse.owl#MA_0001402,"[""rib 2""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0001380,=,0.0,http://human.owl#NCI_C52783,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0002272,=,0.0,http://human.owl#NCI_C53150,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0000356,=,0.0,http://human.owl#NCI_C12377,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Inferior_Mesenteric_Artery""]",[],"[""owl:Class""]",http://human.owl#NCI_C32780,=,1.0,http://mouse.owl#MA_0002004,"[""inferior mesenteric artery""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0000033,=,0.0,http://human.owl#NCI_C32141,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0000257,=,0.0,http://human.owl#NCI_C12502,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0000415,=,0.0,http://human.owl#NCI_C12468,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Right_Hepatic_Duct""]",[],"[""owl:Class""]",http://human.owl#NCI_C33476,=,1.0,http://mouse.owl#MA_0001639,"[""right hepatic duct""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0001748,=,0.0,http://human.owl#NCI_C49296,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0000093,=,0.0,http://human.owl#NCI_C12870,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0002304,=,0.0,http://human.owl#NCI_C52702,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0000753,=,0.0,http://human.owl#NCI_C33598,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0000734,=,0.0,http://human.owl#NCI_C49600,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0000891,=,0.0,http://human.owl#NCI_C12448,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Nose""]",[],"[""owl:Class""]",http://human.owl#NCI_C12756,=,1.0,http://mouse.owl#MA_0000281,"[""nose""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,[],[],[],http://mouse.owl#MA_0002667,=,0.0,http://human.owl#NCI_C38671,[],[],[],true,false negative
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Aortic_Valve""]",[],"[""owl:Class""]",http://human.owl#NCI_C12670,=,1.0,http://mouse.owl#MA_0000087,"[""aortic valve""]",[],"[""owl:Class""]",false,false positive
LocalTrack,Local TC,/home/ec2-user/KGAS_MELT/matchers/logmap-lite-melt-oaei-2021-web-latest.tar.gz,"[""Stapedius_Muscle""]",[],"[""owl:Class""]",http://human.owl#NCI_C33611,=,1.0,http://mouse.owl#MA_0001220,"[""stapedius""]",[],"[""owl:Class""]",false,false positive
